Location,J,I,Ld,Lv,Wa,Wp,Dd,Dv,In,Delta
Taseko BC,14.7678,-10.0359,2.32789,1.61892,1.29533,0.865948,1.3629,2.57026,1.066,0.168253
Taseko BC,21.7045,-20.9414,1.94255,1.58322,1.31684,1.12798,0.935183,2.69478,1.08996,0.180712
Taseko BC,5.58693,-4.28503,2.11,1.57057,0.881133,0.811472,1.17583,2.32846,1.05671,0.166196
Taseko BC,28.7264,-11.2129,1.48227,1.01705,0.861803,0.700229,0.61976,1.9855,0.729513,0.124518
Taseko BC,17.5966,-12.0383,2.00378,1.41289,1.09498,0.70032,0.792328,2.57893,0.796509,0.148281
Taseko BC,8.52345,-8.73996,2.29368,1.52829,1.46806,0.893604,1.39993,2.68195,1.49555,0.183372
Taseko BC,14.7694,-9.88724,2.16175,1.76553,1.51932,1.14235,1.03472,3.0809,1.11225,0.159053
Taseko BC,5.24908,-3.40027,2.63656,1.83191,1.32865,1.16067,1.05083,3.06677,1.26256,0.184454
Taseko BC,16.6827,-24.5582,2.13959,1.82957,1.74931,1.39181,1.26038,2.97324,1.08522,0.155103
Taseko BC,18.4558,-10.9634,2.3498,1.66153,1.47909,1.27311,1.13343,2.85865,1.13539,0.180433
Taseko BC,14.9231,-10.7967,2.65069,1.89794,1.8008,1.06241,1.21884,3.38917,1.46312,0.149094
Taseko BC,32.5769,-15.523,2.87498,2.10975,1.74286,0.920532,1.46561,3.80191,1.25348,0.194719
Taseko BC,14.2504,-10.0775,2.20568,1.82527,1.55365,0.936704,1.36015,2.7502,1.04366,0.19033
Taseko BC,21.3345,-15.3955,2.52628,2.36466,2.09858,1.02423,1.27151,3.854,1.41479,0.148247
Taseko BC,13.6295,-6.26722,2.80365,2.69732,1.66797,1.14527,0.907018,4.8429,0.930859,0.268028
Taseko BC,10.2096,-7.86073,1.76894,1.61434,0.93777,0.611914,1.16587,2.43599,0.87001,0.119401
Taseko BC,15.2276,-10.1222,1.63973,1.26876,1.07742,0.923947,0.9598,2.26695,0.931939,0.179595
Taseko BC,15.908,-9.22771,1.16489,1.05619,0.891803,0.710691,0.799921,1.62897,0.736609,0.143214
Taseko BC,7.95489,-7.20957,1.11534,0.857716,0.824862,0.633882,0.373698,1.65074,0.713181,0.139456
Taseko BC,11.5127,-7.66407,1.64674,1.1848,1.0625,0.830071,0.962312,2.05476,1.10214,0.168763
Taseko BC,15.5336,-8.8158,2.43037,1.91618,1.51404,1.31562,1.45909,3.16799,1.53717,0.360502
Taseko BC,11.0943,-3.7959,1.67831,1.21757,1.00117,0.827484,0.660566,2.39104,0.857872,0.237255
Taseko BC,7.88745,-4.7083,2.28569,1.71173,1.40481,1.00696,1.55403,2.76983,1.68941,0.25301
Taseko BC,6.44679,-13.2625,1.82619,1.50362,1.42722,0.951028,1.00694,2.61833,1.21405,0.191765
Taseko BC,12.9875,-8.91888,2.38723,1.93199,1.43033,1.01079,1.18266,3.18695,1.27277,0.210831
Taseko BC,9.02776,-6.9533,1.74054,1.35718,0.959208,0.637076,1.07298,2.19066,1.005,0.184457
Taseko BC,5.14788,-3.59828,1.33234,1.10009,0.635183,0.537562,0.876816,1.64425,0.874947,0.182334
Taseko BC,20.58,-10.2269,1.7468,1.55163,1.34589,0.779682,1.04746,2.3706,0.953094,0.185383
Taseko BC,11.4105,-7.70695,2.28161,1.33932,1.4026,0.965481,1.08275,2.76985,0.990404,0.2034
Taseko BC,-2.44346,1.66532,2.31839,1.76165,1.50622,1.12321,1.39008,2.69392,0.928584,0.255522
Taseko BC,19.2307,-12.7623,1.51843,1.44538,1.14663,0.78907,0.896814,1.63492,0.847789,0.185102
Taseko BC,11.7446,-7.27308,1.61567,1.38862,0.9738,0.691012,0.948024,2.02802,0.907626,0.135978
Taseko BC,6.04051,-8.7258,1.62253,1.41025,0.933179,0.583084,1.06919,1.98042,0.883516,0.163957
Taseko BC,8.7891,-4.02826,1.46626,0.948637,0.853419,0.566752,0.772174,1.67157,0.669451,0.116579
Taseko BC,8.0883,-5.65648,1.27811,0.971658,0.744444,0.540082,0.953552,1.85055,0.734546,0.115431
Taseko BC,7.0424,-7.39909,1.36154,0.953171,0.744582,0.533351,0.713072,1.80744,0.818187,0.124178
Taseko BC,-7.29591,4.87232,2.01738,1.34539,0.822778,0.83668,1.05137,2.40539,1.01227,0.196987
Taseko BC,-2.51458,2.76057,1.56962,1.22079,1.00848,0.770267,0.806217,1.89299,0.716491,0.125622
Taseko BC,-3.90009,1.96767,1.28541,1.00475,0.737835,0.591494,0.786346,1.47505,0.605046,0.183818
Taseko BC,-4.89991,4.84297,1.39403,1.17231,0.885177,0.626145,0.837749,1.75141,0.77942,0.139143
Taseko BC,1.91863,-5.79092,2.3579,2.15468,1.95827,1.48049,1.77136,2.84683,0.955145,0.465894
Taseko BC,-1.13624,0.698294,2.90306,2.50439,1.67501,1.68539,1.65995,3.36486,1.27666,0.55147
Taseko BC,2.74325,-0.286,2.44309,2.14989,1.41022,1.1566,1.68098,3.12235,1.3054,0.383535
Taseko BC,-0.869642,0.574743,2.47606,1.98638,1.67737,1.5813,1.29539,3.24352,1.29166,0.327557
Taseko BC,10.0468,-8.00389,2.02755,1.80384,1.47367,0.978941,0.987018,2.85089,0.903721,0.317548
